"","Network","Iteration","f","h","m","nw","nh","ew","eh","b","Target"
"1","1","0",0.752388943578652,0.727300599043913,-0.250429988776709,0.873258257447475,0.302083466546253,0.775393174361322,0.644044603199647,0.395591219468196,"Ambiguity"
"2","2","0",0.995895888202939,-0.562851079962594,0.463802814212041,0.190824555902091,0.717875917628794,0.0360267053563966,0.0390439194576719,0.438265912539887,"Ambiguity"
"3","3","0",0.649328774180999,-0.155292271477365,0.430874460772505,0.431983869173865,0.582993090887117,0.774516181346864,0.907120830585485,0.72683055775436,"Ambiguity"
"4","4","0",0.307861116011518,-0.756569433844217,0.463648708649034,0.311809650254187,0.783348912365706,0.497321009226747,0.907088004654441,0.867791290178672,"Ambiguity"
"5","5","0",0.435940088143933,0.213329734806815,-0.97205354764291,0.437171789042758,0.367356823532551,0.00337090064989132,0.516940194859389,0.740167326156938,"Ambiguity"
"6","6","0",0.672073128517873,0.667052395319595,-0.187947295480582,0.113008351947517,0.147224784349903,0.996161751206004,0.883136921701738,0.40486804993822,"Ambiguity"
"7","7","0",0.167444384909847,-0.713610987058982,0.158897189458499,0.868241032982752,0.497735387516445,0.65824020929577,0.218328554580278,0.0164315663673982,"Ambiguity"
"8","8","0",0.926584298325141,-0.374016574673114,0.433574695910452,0.108779189391988,0.36339294548347,0.761017648853697,0.297252269296292,0.208040723641477,"Ambiguity"
"9","9","0",0.501493584917358,-0.133268539495009,0.303776863610171,0.0620738196941821,0.540222333080151,0.085538487548176,0.80064154263755,0.583992896262675,"Ambiguity"
"10","10","0",0.325997088370642,0.878262865483333,0.384642080328543,0.928160677613574,0.236115897891747,0.617674596868857,0.821989094817817,0.727408294336315,"Ambiguity"
"11","11","0",0.659106103354531,0.182289147497264,-0.955901235900381,0.114864300346656,0.289754267900902,0.526289385873103,0.970841715310876,0.245747962709316,"Ambiguity"
"12","12","0",0.384889810496307,-0.611951177376024,-0.276011557920583,0.461207884736349,0.0488532337824992,0.86335400018303,0.52803160952763,0.459251864943227,"Ambiguity"
"13","13","0",0.736320826446401,0.729129104122814,-0.191339930536943,0.286863663361399,0.367680630097099,0.0699148474780102,0.720967664104784,0.645782290720338,"Ambiguity"
"14","14","0",0.40539590356256,0.790641843625888,0.807750628824595,0.265053400380369,0.311373311653069,0.983824403586266,0.660502124283024,0.621438448483963,"Ambiguity"
"15","15","0",0.60856791671077,-0.105436769957985,0.99856968722709,0.958456405354884,0.532814990446118,0.513441477737348,0.449060262682872,0.457036143515107,"Ambiguity"
"16","16","0",0.380150804240822,-0.0570900002055608,-0.0242417327223383,0.113969409476948,0.32631976164075,0.715750032407913,0.670281738559383,0.0758718336034336,"Ambiguity"
"17","1","1",0.752388943578652,0.727300599043913,-0.250429988776709,0.873258257447475,0.302083466546253,0.775393174361322,0.494549454945495,0.395591219468196,"Ambiguity"
"18","10","1",0.325997088370642,0.878262865483333,0.21972197219722,0.928160677613574,0.236115897891747,0.617674596868857,0.821989094817817,0.727408294336315,"Ambiguity"
"19","16","1",0.380150804240822,-0.0570900002055608,0.111511151115111,0.113969409476948,0.32631976164075,0.715750032407913,0.670281738559383,0.0758718336034336,"Ambiguity"
"20","15","1",0.60856791671077,-0.105436769957985,0.35013501350135,0.958456405354884,0.532814990446118,0.513441477737348,0.449060262682872,0.457036143515107,"Ambiguity"
"21","10","2",0.325997088370642,0.878262865483333,0.21972197219722,0.48034803480348,0.236115897891747,0.617674596868857,0.821989094817817,0.727408294336315,"Ambiguity"
"22","3","1",0.649328774180999,-0.155292271477365,0.430874460772505,0.431983869173865,0.582993090887117,0.774516181346864,0.907120830585485,0.366536653665367,"Ambiguity"
"23","16","2",0.380150804240822,-0.0570900002055608,0.111511151115111,0.484348434843484,0.32631976164075,0.715750032407913,0.670281738559383,0.0758718336034336,"Ambiguity"
"24","6","1",0.624762476247625,0.667052395319595,-0.187947295480582,0.113008351947517,0.147224784349903,0.996161751206004,0.883136921701738,0.40486804993822,"Ambiguity"
"25","1","2",0.752388943578652,0.727300599043913,-0.250429988776709,0.873258257447475,0.302083466546253,0.775393174361322,0.494549454945495,0.14991499149915,"Ambiguity"
"26","13","1",0.736320826446401,0.729129104122814,-0.191339930536943,0.286863663361399,0.367680630097099,0.0699148474780102,0.720967664104784,0.543954395439544,"Ambiguity"
"27","3","2",0.368136813681368,-0.155292271477365,0.430874460772505,0.431983869173865,0.582993090887117,0.774516181346864,0.907120830585485,0.366536653665367,"Ambiguity"
"28","9","1",0.501493584917358,-0.133268539495009,0.303776863610171,0.0620738196941821,0.540222333080151,0.085538487548176,0.80064154263755,0.199419941994199,"Ambiguity"
"29","6","2",0.624762476247625,0.29032903290329,-0.187947295480582,0.113008351947517,0.147224784349903,0.996161751206004,0.883136921701738,0.40486804993822,"Ambiguity"
"30","4","1",0.307861116011518,-0.756569433844217,0.463648708649034,0.311809650254187,0.0283028302830283,0.497321009226747,0.907088004654441,0.867791290178672,"Ambiguity"
"31","13","2",0.414441444144414,0.729129104122814,-0.191339930536943,0.286863663361399,0.367680630097099,0.0699148474780102,0.720967664104784,0.543954395439544,"Ambiguity"
"32","7","1",0.167444384909847,-0.713610987058982,0.158897189458499,1,0.497735387516445,0.65824020929577,0.218328554580278,0.0164315663673982,"Ambiguity"
"33","15","2",0.60856791671077,-0.105436769957985,0.35013501350135,0.467846784678468,0.532814990446118,0.513441477737348,0.449060262682872,0.457036143515107,"Ambiguity"
"34","4","2",0.307861116011518,-0.756569433844217,0.463648708649034,0.311809650254187,0.0283028302830283,0.45994599459946,0.907088004654441,0.867791290178672,"Ambiguity"
"35","7","2",0.167444384909847,-0.713610987058982,0.158897189458499,1,0.271627162716272,0.65824020929577,0.218328554580278,0.0164315663673982,"Ambiguity"
"36","2","1",0.995895888202939,-0.346934693469347,0.463802814212041,0.190824555902091,0.717875917628794,0.0360267053563966,0.0390439194576719,0.438265912539887,"Ambiguity"
"37","9","2",0.363436343634363,-0.133268539495009,0.303776863610171,0.0620738196941821,0.540222333080151,0.085538487548176,0.80064154263755,0.199419941994199,"Ambiguity"
"38","12","1",0.384889810496307,-0.611951177376024,-0.276011557920583,0.461207884736349,0.0488532337824992,0.86335400018303,0.52803160952763,0.930893089308931,"Ambiguity"
"39","14","1",0.40539590356256,0.790641843625888,0.807750628824595,0.265053400380369,0.311373311653069,0.983824403586266,0.614561456145615,0.621438448483963,"Ambiguity"
"40","16","3",0.380150804240822,-0.0570900002055608,0.111511151115111,0.484348434843484,0.24042404240424,0.715750032407913,0.670281738559383,0.0758718336034336,"Ambiguity"
"41","5","1",0.435940088143933,0.213329734806815,-0.97205354764291,0.437171789042758,1,0.00337090064989132,0.516940194859389,0.740167326156938,"Ambiguity"
"42","11","1",0.659106103354531,0.182289147497264,-0.955901235900381,0.114864300346656,0.289754267900902,0.364236423642364,0.970841715310876,0.245747962709316,"Ambiguity"
"43","15","3",0.60856791671077,-0.105436769957985,0.35013501350135,0.467846784678468,0.354535453545355,0.513441477737348,0.449060262682872,0.457036143515107,"Ambiguity"
"44","2","2",0.995895888202939,-0.346934693469347,0.486748674867487,0.190824555902091,0.717875917628794,0.0360267053563966,0.0390439194576719,0.438265912539887,"Ambiguity"
"45","16","4",0.380150804240822,-0.0570900002055608,0.111511151115111,0.484348434843484,0.24042404240424,0.362636263626363,0.670281738559383,0.0758718336034336,"Ambiguity"
"46","8","1",0.926584298325141,-0.374016574673114,0.241724172417242,0.108779189391988,0.36339294548347,0.761017648853697,0.297252269296292,0.208040723641477,"Ambiguity"
"47","11","2",0.659106103354531,0.182289147497264,-0.955901235900381,0.114864300346656,0.289754267900902,0.364236423642364,0.487448744874487,0.245747962709316,"Ambiguity"
"48","14","2",0.40539590356256,0.790641843625888,0.807750628824595,0.265053400380369,0.311373311653069,0.983824403586266,0.614561456145615,0.220522052205221,"Ambiguity"
"49","9","3",0.363436343634363,-0.955595559555956,0.303776863610171,0.0620738196941821,0.540222333080151,0.085538487548176,0.80064154263755,0.199419941994199,"Ambiguity"
"50","12","2",0.404240424042404,-0.611951177376024,-0.276011557920583,0.461207884736349,0.0488532337824992,0.86335400018303,0.52803160952763,0.930893089308931,"Ambiguity"
"51","15","4",0.60856791671077,-0.105436769957985,0.35013501350135,0.467846784678468,0.354535453545355,0.313231323132313,0.449060262682872,0.457036143515107,"Ambiguity"
"52","8","2",0.926584298325141,-0.374016574673114,0.241724172417242,0.361836183618362,0.36339294548347,0.761017648853697,0.297252269296292,0.208040723641477,"Ambiguity"
"53","5","2",0.435940088143933,0.213329734806815,-0.97205354764291,0.437171789042758,1,1,0.516940194859389,0.740167326156938,"Ambiguity"
"54","9","4",0.363436343634363,-0.955595559555956,1,0.0620738196941821,0.540222333080151,0.085538487548176,0.80064154263755,0.199419941994199,"Ambiguity"
"55","10","3",0.325997088370642,0.878262865483333,0.21972197219722,0.48034803480348,0.849284928492849,0.617674596868857,0.821989094817817,0.727408294336315,"Ambiguity"
"56","16","5",0.380150804240822,-0.0570900002055608,0.111511151115111,0.484348434843484,0.24042404240424,0.362636263626363,0.388938893889389,0.0758718336034336,"Ambiguity"
"57","13","3",0.414441444144414,-0.816381638163816,-0.191339930536943,0.286863663361399,0.367680630097099,0.0699148474780102,0.720967664104784,0.543954395439544,"Ambiguity"
"58","11","3",0.659106103354531,0.182289147497264,-0.955901235900381,0.114864300346656,0.289754267900902,0.364236423642364,0.487448744874487,0.124912491249125,"Ambiguity"
"59","10","4",0.325997088370642,0.878262865483333,0.21972197219722,0.48034803480348,0.849284928492849,0.996899689968997,0.821989094817817,0.727408294336315,"Ambiguity"
"60","13","4",0.414441444144414,-0.816381638163816,-1,0.286863663361399,0.367680630097099,0.0699148474780102,0.720967664104784,0.543954395439544,"Ambiguity"
"61","9","5",0.363436343634363,-0.955595559555956,1,0,0.540222333080151,0.085538487548176,0.80064154263755,0.199419941994199,"Ambiguity"
"62","11","4",0,0.182289147497264,-0.955901235900381,0.114864300346656,0.289754267900902,0.364236423642364,0.487448744874487,0.124912491249125,"Ambiguity"
"63","15","5",0.60856791671077,-0.105436769957985,0.35013501350135,0.467846784678468,0.354535453545355,0.313231323132313,0.344534453445345,0.457036143515107,"Ambiguity"
"64","3","3",0.368136813681368,1,0.430874460772505,0.431983869173865,0.582993090887117,0.774516181346864,0.907120830585485,0.366536653665367,"Ambiguity"
"65","16","6",0.380150804240822,-0.0570900002055608,0.111511151115111,0.484348434843484,0.24042404240424,0.362636263626363,0.388938893889389,1,"Ambiguity"
"66","10","5",0.325997088370642,0.878262865483333,0.21972197219722,0.48034803480348,0.849284928492849,0.996899689968997,0.446744674467447,0.727408294336315,"Ambiguity"
"67","1","3",0.471547154715472,0.727300599043913,-0.250429988776709,0.873258257447475,0.302083466546253,0.775393174361322,0.494549454945495,0.14991499149915,"Ambiguity"
"68","9","6",0.363436343634363,-0.955595559555956,1,0,1,0.085538487548176,0.80064154263755,0.199419941994199,"Ambiguity"
"69","5","3",0.435940088143933,0.213329734806815,-0.97205354764291,0.437171789042758,1,1,0.343034303430343,0.740167326156938,"Ambiguity"
"70","6","3",0.624762476247625,0.29032903290329,1,0.113008351947517,0.147224784349903,0.996161751206004,0.883136921701738,0.40486804993822,"Ambiguity"
"71","10","6",0.325997088370642,0.878262865483333,0.21972197219722,0.48034803480348,0.849284928492849,0.996899689968997,0.446744674467447,1,"Ambiguity"
"72","3","4",0.368136813681368,1,1,0.431983869173865,0.582993090887117,0.774516181346864,0.907120830585485,0.366536653665367,"Ambiguity"
"73","5","4",0.435940088143933,0.213329734806815,-0.97205354764291,0.437171789042758,1,1,0.343034303430343,1,"Ambiguity"
"74","15","6",0.60856791671077,-0.105436769957985,0.35013501350135,0.467846784678468,0.354535453545355,0.313231323132313,0.344534453445345,0.224322432243224,"Ambiguity"
"75","8","3",0.926584298325141,-0.374016574673114,0.241724172417242,0.361836183618362,0.0293029302930293,0.761017648853697,0.297252269296292,0.208040723641477,"Ambiguity"
"76","13","5",0.414441444144414,-0.816381638163816,-1,1,0.367680630097099,0.0699148474780102,0.720967664104784,0.543954395439544,"Ambiguity"
"77","7","3",0.167444384909847,-0.713610987058982,0.158897189458499,1,0.271627162716272,0.0287028702870287,0.218328554580278,0.0164315663673982,"Ambiguity"
"78","1","4",0.471547154715472,-0.86018601860186,-0.250429988776709,0.873258257447475,0.302083466546253,0.775393174361322,0.494549454945495,0.14991499149915,"Ambiguity"
"79","11","5",0,-1,-0.955901235900381,0.114864300346656,0.289754267900902,0.364236423642364,0.487448744874487,0.124912491249125,"Ambiguity"
"80","14","3",0.504450445044504,0.790641843625888,0.807750628824595,0.265053400380369,0.311373311653069,0.983824403586266,0.614561456145615,0.220522052205221,"Ambiguity"
"81","5","5",0.223322332233223,0.213329734806815,-0.97205354764291,0.437171789042758,1,1,0.343034303430343,1,"Ambiguity"
"82","2","3",0.995895888202939,-0.346934693469347,0.486748674867487,0.0447044704470447,0.717875917628794,0.0360267053563966,0.0390439194576719,0.438265912539887,"Ambiguity"
"83","7","4",0.167444384909847,-0.713610987058982,0.158897189458499,1,0.271627162716272,0.0287028702870287,0.158515851585159,0.0164315663673982,"Ambiguity"
"84","1","5",0.471547154715472,-0.86018601860186,0.116111611161116,0.873258257447475,0.302083466546253,0.775393174361322,0.494549454945495,0.14991499149915,"Ambiguity"
"85","4","3",0.307861116011518,-0.756569433844217,0.463648708649034,0.311809650254187,0.0283028302830283,0.45994599459946,0.564056405640564,0.867791290178672,"Ambiguity"
"86","13","6",0.414441444144414,-0.816381638163816,-1,1,0.210521052105211,0.0699148474780102,0.720967664104784,0.543954395439544,"Ambiguity"
"87","12","3",0.404240424042404,0.484348434843484,-0.276011557920583,0.461207884736349,0.0488532337824992,0.86335400018303,0.52803160952763,0.930893089308931,"Ambiguity"
"88","5","6",0.223322332233223,0.310931093109311,-0.97205354764291,0.437171789042758,1,1,0.343034303430343,1,"Ambiguity"
"89","6","4",0.624762476247625,0.29032903290329,1,1,0.147224784349903,0.996161751206004,0.883136921701738,0.40486804993822,"Ambiguity"
"90","3","5",0.368136813681368,1,1,0.476447644764476,0.582993090887117,0.774516181346864,0.907120830585485,0.366536653665367,"Ambiguity"
"91","11","6",0,-1,0.0039003900390038,0.114864300346656,0.289754267900902,0.364236423642364,0.487448744874487,0.124912491249125,"Ambiguity"
"92","4","4",0.307861116011518,-0.756569433844217,0.463648708649034,0.311809650254187,0.0283028302830283,0.45994599459946,0.564056405640564,0.368936893689369,"Ambiguity"
"93","12","4",0.404240424042404,0.484348434843484,0.0439043904390438,0.461207884736349,0.0488532337824992,0.86335400018303,0.52803160952763,0.930893089308931,"Ambiguity"
"94","6","5",0.624762476247625,0.29032903290329,1,1,0.163216321632163,0.996161751206004,0.883136921701738,0.40486804993822,"Ambiguity"
"95","1","6",0.471547154715472,-0.86018601860186,0.116111611161116,0.243724372437244,0.302083466546253,0.775393174361322,0.494549454945495,0.14991499149915,"Ambiguity"
"96","8","4",0.926584298325141,-0.374016574673114,0.241724172417242,0.361836183618362,0.0293029302930293,1,0.297252269296292,0.208040723641477,"Ambiguity"
"97","4","5",0.491349134913491,-0.756569433844217,0.463648708649034,0.311809650254187,0.0283028302830283,0.45994599459946,0.564056405640564,0.368936893689369,"Ambiguity"
"98","2","4",0.995895888202939,-0.346934693469347,0.486748674867487,0.0447044704470447,0.404240424042404,0.0360267053563966,0.0390439194576719,0.438265912539887,"Ambiguity"
"99","15","7",0.640764076407641,-0.105436769957985,0.35013501350135,0.467846784678468,0.354535453545355,0.313231323132313,0.344534453445345,0.224322432243224,"Ambiguity"
"100","3","6",0.368136813681368,1,1,0.476447644764476,0.0705070507050705,0.774516181346864,0.907120830585485,0.366536653665367,"Ambiguity"
"101","12","5",0.404240424042404,0.484348434843484,0.0439043904390438,0.2998299829983,0.0488532337824992,0.86335400018303,0.52803160952763,0.930893089308931,"Ambiguity"
"102","14","4",0.504450445044504,0.944994499449945,0.807750628824595,0.265053400380369,0.311373311653069,0.983824403586266,0.614561456145615,0.220522052205221,"Ambiguity"
"104","15","8",0.640764076407641,-1,0.35013501350135,0.467846784678468,0.354535453545355,0.313231323132313,0.344534453445345,0.224322432243224,"Ambiguity"
"105","14","5",0.504450445044504,0.944994499449945,0.172717271727173,0.265053400380369,0.311373311653069,0.983824403586266,0.614561456145615,0.220522052205221,"Ambiguity"
"106","4","6",0.491349134913491,-0.242724272427243,0.463648708649034,0.311809650254187,0.0283028302830283,0.45994599459946,0.564056405640564,0.368936893689369,"Ambiguity"
"107","2","5",0.995895888202939,-0.346934693469347,0.486748674867487,0.0447044704470447,0.404240424042404,0.436443644364436,0.0390439194576719,0.438265912539887,"Ambiguity"
"108","11","7",0,-1,0.0039003900390038,0,0.289754267900902,0.364236423642364,0.487448744874487,0.124912491249125,"Ambiguity"
"109","5","7",0.223322332233223,0.310931093109311,-0.0493049304930494,0.437171789042758,1,1,0.343034303430343,1,"Ambiguity"
"110","7","5",0.167444384909847,-0.713610987058982,0.158897189458499,1,0.271627162716272,0.0287028702870287,0.158515851585159,0.871287128712871,"Ambiguity"
"111","12","6",0.404240424042404,0.484348434843484,0.0439043904390438,0.2998299829983,0.663766376637664,0.86335400018303,0.52803160952763,0.930893089308931,"Ambiguity"
"112","10","7",1,0.878262865483333,0.21972197219722,0.48034803480348,0.849284928492849,0.996899689968997,0.446744674467447,1,"Ambiguity"
"113","11","8",0,-1,0.0039003900390038,0,0.0292029202920292,0.364236423642364,0.487448744874487,0.124912491249125,"Ambiguity"
"114","7","6",0.655365536553655,-0.713610987058982,0.158897189458499,1,0.271627162716272,0.0287028702870287,0.158515851585159,0.871287128712871,"Ambiguity"
"115","5","8",0.223322332233223,0.310931093109311,-0.0493049304930494,0,1,1,0.343034303430343,1,"Ambiguity"
"116","2","6",0.995895888202939,-0.346934693469347,0.486748674867487,0.0447044704470447,0.404240424042404,0.436443644364436,0,0.438265912539887,"Ambiguity"
"117","9","7",0.363436343634363,-0.955595559555956,1,0,1,1,0.80064154263755,0.199419941994199,"Ambiguity"
"118","14","6",0.504450445044504,0.944994499449945,0.172717271727173,0.134413441344134,0.311373311653069,0.983824403586266,0.614561456145615,0.220522052205221,"Ambiguity"
"119","11","9",0,-1,0.0039003900390038,0,0.0292029202920292,0.459245924592459,0.487448744874487,0.124912491249125,"Ambiguity"
"120","6","6",0.624762476247625,0.29032903290329,1,1,0.163216321632163,0,0.883136921701738,0.40486804993822,"Ambiguity"
"122","10","8",1,-0.135313531353135,0.21972197219722,0.48034803480348,0.849284928492849,0.996899689968997,0.446744674467447,1,"Ambiguity"
"123","12","7",0.404240424042404,0.484348434843484,0.0439043904390438,0.2998299829983,0.663766376637664,1,0.52803160952763,0.930893089308931,"Ambiguity"
"124","5","9",0.223322332233223,0.310931093109311,-0.0493049304930494,0,0.531653165316532,1,0.343034303430343,1,"Ambiguity"
